Date,VTI,VXUS,BND,SPY,DJI,LTT,TLT,UPRO,TMF,SSO,UBT,CASH
1970-09-23,,,,,0.009244518174642417,,,,,,,0
1970-09-24,,,,,0.0065351679524907206,,,,,,,0
1970-09-25,,,,,0.0032397834876401422,,,,,,,0
1970-09-28,,,,,-0.0036756501306167933,,,,,,,0
1970-09-29,,,,,0.002516568507319088,,,,,,,0
1970-09-30,,,,,-0.00026285353800868135,,,,,,,0
1970-10-01,,,,,0.0,,,,,,,0
1970-10-02,,,,,0.00720408055949942,,,,,,,0
1970-10-05,,,,,0.013756917615119659,,,,,,,0
1970-10-06,,,,,0.007403115746105317,,,,,,,0
1970-10-07,,,,,0.0015719854303788158,,,,,,,0
1970-10-08,,,,,-0.008472846059616153,,,,,,,0
1970-10-09,,,,,-0.010745907546586931,,,,,,,0
1970-10-12,,,,,-0.005789069716010414,,,,,,,0
1970-10-13,,,,,-0.005469486025332439,,,,,,,0
1970-10-14,,,,,0.0035128805620609858,,,,,,,0
1970-10-15,,,,,0.006738950873834759,,,,,,,0
1970-10-16,,,,,-0.005886413064711451,,,,,,,0
1970-10-19,,,,,-0.008973603196436789,,,,,,,0
1970-10-20,,,,,0.0030799735624587456,,,,,,,0
1970-10-21,,,,,0.0010806109405267798,,,,,,,0
1970-10-22,,,,,-0.0023431843612189466,,,,,,,0
1970-10-23,,,,,0.001992426141686557,,,,,,,0
1970-10-26,,,,,-0.0038847480839632933,,,,,,,0
1970-10-27,,,,,-0.002617558795922828,,,,,,,0
1970-10-28,,,,,0.0020014580157730675,,,,,,,0
1970-10-29,,,,,-0.0031747711519129196,,,,,,,0
1970-10-30,,,,,0.002720420404480159,,,,,,,0
1970-11-02,,,,,0.0031762417119942524,,,,,,,0
1970-11-03,,,,,0.013271592723051225,,,,,,,0
1970-11-04,,,,,0.003567383181220325,,,,,,,0
1970-11-05,,,,,0.0009730024260193823,,,,,,,0
1970-11-06,,,,,0.0005313909482089299,,,,,,,0
1970-11-09,,,,,0.007370752749459099,,,,,,,0
1970-11-10,,,,,-0.0003600545225419499,,,,,,,0
1970-11-11,,,,,0.0027271090071779628,,,,,,,0
1970-11-12,,,,,-0.014753046824887749,,,,,,,0
1970-11-13,,,,,-0.010690104166666714,,,,,,,0
1970-11-16,,,,,0.0004474920701773277,,,,,,,0
1970-11-17,,,,,0.0004472919105942823,,,,,,,0
1970-11-18,,,,,-0.008192302128946597,,,,,,,0
1970-11-19,,,,,0.0020948239287230074,,,,,,,0
1970-11-20,,,,,0.007607631446640734,,,,,,,0
1970-11-23,,,,,0.007812807752406123,,,,,,,0
1970-11-24,,,,,0.006788096727121165,,,,,,,0
1970-11-25,,,,,0.0025623438976097967,,,,,,,0
1970-11-27,,,,,0.00857094912935161,,,,,,,0
1970-11-30,,,,,0.01630511294554298,,,,,,,0
1970-12-01,,,,,0.000251860620332622,,,,,,,0
1970-12-02,,,,,0.010512533205756113,,,,,,,0
1970-12-03,,,,,0.007338283663909083,,,,,,,0
1970-12-04,,,,,0.009313198026047237,,,,,,,0
1970-12-07,,,,,0.0031860402421390864,,,,,,,0
1970-12-08,,,,,-0.004348569613759003,,,,,,,0
1970-12-09,,,,,0.00017175806649489186,,,,,,,0
1970-12-10,,,,,0.007139002011677465,,,,,,,0
1970-12-11,,,,,0.0059191776484057365,,,,,,,0
1970-12-14,,,,,-0.0033175125920186085,,,,,,,0
1970-12-15,,,,,-0.004324692047911691,,,,,,,0
1970-12-16,,,,,-0.0006710426783142853,,,,,,,0
1970-12-17,,,,,0.0037603623621911765,,,,,,,0
1970-12-18,,,,,0.000754120294350185,,,,,,,0
1970-12-21,,,,,-0.0014949499860228475,,,,,,,0
1970-12-22,,,,,0.0014971882075127422,,,,,,,0
1970-12-23,,,,,0.0004132382075185433,,,,,,,0
1970-12-24,,,,,0.006402546439722494,,,,,,,0
1970-12-28,,,,,0.0030541538907264453,,,,,,,0
1970-12-29,,,,,0.01334681253083972,,,,,,,0
1970-12-30,,,,,-0.0008076009501187054,,,,,,,0
1970-12-31,,,,,-0.0028526601055485316,,,,,,,0
1971-01-04,,,,,-0.009953273256091057,,,,,,,0
1971-01-05,,,,,0.0062607606824228315,,,,,,,0
1971-01-06,,,,,0.0026323031456023135,,,,,,,0
1971-01-07,,,,,-0.00016707042018209047,,,,,,,0
1971-01-08,,,,,-0.000978718833176241,,,,,,,0
1971-01-11,,,,,0.0002389457712572675,,,,,,,0
1971-01-12,,,,,0.008337215274542849,,,,,,,0
1971-01-13,,,,,-0.003648467761996755,,,,,,,0
1971-01-14,,,,,0.0026155913019699347,,,,,,,0
1971-01-15,,,,,0.0028340705078797835,,,,,,,0
1971-01-18,,,,,0.0025067991013361765,,,,,,,0
1971-01-19,,,,,0.0019461678186407222,,,,,,,0
1971-01-20,,,,,0.0005650582127679826,,,,,,,0
1971-01-21,,,,,0.005635625625036724,,,,,,,0
1971-01-22,,,,,0.007686547956103536,,,,,,,0
1971-01-25,,,,,0.005004005526465569,,,,,,,0
1971-01-26,,,,,0.001351632355999121,,,,,,,0
1971-01-27,,,,,-0.0068759445771177825,,,,,,,0
1971-01-28,,,,,0.005006795766876091,,,,,,,0
1971-01-29,,,,,0.0038837644774256347,,,,,,,0
1971-02-01,,,,,0.01071963154864703,,,,,,,0
1971-02-02,,,,,-0.003668219774210722,,,,,,,0
1971-02-03,,,,,0.0018751643627299493,,,,,,,0
1971-02-04,,,,,-0.0016434041290529365,,,,,,,0
1971-02-05,,,,,0.0020347740600602277,,,,,,,0
1971-02-08,,,,,0.006331496628905797,,,,,,,0
1971-02-09,,,,,-0.0026413639867592176,,,,,,,0
1971-02-10,,,,,0.0014776253424113347,,,,,,,0
1971-02-11,,,,,0.004823570804344619,,,,,,,0
1971-02-12,,,,,0.003941988388641662,,,,,,,0
1971-02-16,,,,,0.00138384167951116,,,,,,,0
1971-02-17,,,,,-0.002460508280340585,,,,,,,0
1971-02-18,,,,,-0.0031648777411108146,,,,,,,0
1971-02-19,,,,,-0.007344134860913385,,,,,,,0
1971-02-22,,,,,-0.010904206883991905,,,,,,,0
1971-02-23,,,,,0.0011737899606434922,,,,,,,0
1971-02-24,,,,,0.006459770114942534,,,,,,,0
1971-02-25,,,,,0.007263424773303503,,,,,,,0
1971-02-26,,,,,-0.003571509558039839,,,,,,,0
1971-03-01,,,,,0.004210143031075329,,,,,,,0
1971-03-02,,,,,0.0005438908592342676,,,,,,,0
1971-03-03,,,,,-0.0007021438035809386,,,,,,,0
1971-03-04,,,,,0.010165573045932103,,,,,,,0
1971-03-05,,,,,0.007449290971100326,,,,,,,0
1971-03-08,,,,,0.000690423162583524,,,,,,,0
1971-03-09,,,,,0.0005341523669626963,,,,,,,0
1971-03-10,,,,,-0.0035813591369147227,,,,,,,0
1971-03-11,,,,,0.00397374648390416,,,,,,,0
1971-03-12,,,,,-0.0012229831895401834,,,,,,,0
1971-03-15,,,,,0.010975799808535759,,,,,,,0
1971-03-16,,,,,0.007090949130147479,,,,,,,0
1971-03-17,,,,,-0.0006778623283477702,,,,,,,0
1971-03-18,,,,,0.0030743309774403835,,,,,,,0
1971-03-19,,,,,-0.004264694654407122,,,,,,,0
1971-03-22,,,,,-0.0025412960609910358,,,,,,,0
1971-03-23,,,,,-0.0018778827146936484,,,,,,,0
1971-03-24,,,,,-0.01047431482357599,,,,,,,0
1971-03-25,,,,,0.0016011207845491187,,,,,,,0
1971-03-26,,,,,0.0029639990675059923,,,,,,,0
1971-03-29,,,,,0.0,,,,,,,0
1971-03-30,,,,,-9.961482268565086e-05,,,,,,,0
1971-03-31,,,,,0.0010848027983484632,,,,,,,0
1971-04-01,,,,,-0.0005418136382233036,,,,,,,0
1971-04-02,,,,,-0.0009293269018011593,,,,,,,0
1971-04-05,,,,,0.0022479624379873387,,,,,,,0
1971-04-06,,,,,0.008463433767553855,,,,,,,0
1971-04-07,,,,,0.006310738115324346,,,,,,,0
1971-04-08,,,,,0.002068612614181948,,,,,,,0
1971-04-12,,,,,0.006790599637110355,,,,,,,0
1971-04-13,,,,,0.0006906673573340093,,,,,,,0
1971-04-14,,,,,0.005683288758519521,,,,,,,0
1971-04-15,,,,,0.006026486515468344,,,,,,,0
1971-04-16,,,,,0.0021744459959283256,,,,,,,0
1971-04-19,,,,,0.009189436402505809,,,,,,,0
1971-04-20,,,,,-0.004668809611635205,,,,,,,0
1971-04-21,,,,,-0.003271849389042924,,,,,,,0
1971-04-22,,,,,-0.0007436286955690835,,,,,,,0
1971-04-23,,,,,0.007611919670858859,,,,,,,0
1971-04-26,,,,,-0.003998776100190933,,,,,,,0
1971-04-27,,,,,0.0032733050847457965,,,,,,,0
1971-04-28,,,,,0.003938379668246965,,,,,,,0
1971-04-29,,,,,-0.0028081024799647383,,,,,,,0
1971-04-30,,,,,-0.006749986816431975,,,,,,,0
1971-05-03,,,,,-0.009917706397663957,,,,,,,0
1971-05-04,,,,,0.0064778370030352285,,,,,,,0
1971-05-05,,,,,0.0015664127017954218,,,,,,,0
1971-05-06,,,,,-0.0026917184441228753,,,,,,,0
1971-05-07,,,,,-0.0004480525715016792,,,,,,,0
1971-05-10,,,,,-0.00471733353255715,,,,,,,0
1971-05-11,,,,,0.0050399442389148525,,,,,,,0
1971-05-12,,,,,0.00022405974926650987,,,,,,,0
1971-05-13,,,,,-0.001194717641286033,,,,,,,0
1971-05-14,,,,,-0.0002990366747122695,,,,,,,0
1971-05-17,,,,,-0.01576821998589833,,,,,,,0
1971-05-18,,,,,-0.0029740583957451527,,,,,,,0
1971-05-19,,,,,0.001611217557916759,,,,,,,0
1971-05-20,,,,,0.003662884222425117,,,,,,,0
1971-05-21,,,,,-0.0016677315601953235,,,,,,,0
1971-05-24,,,,,-0.009459034354084662,,,,,,,0
1971-05-25,,,,,-0.007074412747084184,,,,,,,0
1971-05-26,,,,,-0.00030881558195203034,,,,,,,0
1971-05-27,,,,,-0.0006950497015699248,,,,,,,0
1971-05-28,,,,,0.002241162313144442,,,,,,,0
1971-06-01,,,,,0.0064330641874401386,,,,,,,0
1971-06-02,,,,,0.006534230832375666,,,,,,,0
1971-06-03,,,,,0.0018268415214979556,,,,,,,0
1971-06-04,,,,,0.0009226093563443208,,,,,,,0
1971-06-07,,,,,0.0009868242693704583,,,,,,,0
1971-06-08,,,,,-0.008720993218208952,,,,,,,0
1971-06-09,,,,,-0.0027868547884722073,,,,,,,0
1971-06-10,,,,,0.003835784582337856,,,,,,,0
1971-06-11,,,,,0.0005567928730512149,,,,,,,0
1971-06-14,,,,,-0.009558414350715234,,,,,,,0
1971-06-15,,,,,-0.0005618534553987407,,,,,,,0
1971-06-16,,,,,0.0015321869488536003,,,,,,,0
1971-06-17,,,,,-0.0025754190558998358,,,,,,,0
1971-06-18,,,,,-0.018857931034482793,,,,,,,0
1971-06-21,,,,,-0.014204417652615948,,,,,,,0
1971-06-22,,,,,-0.0024072193764047025,,,,,,,0
1971-06-23,,,,,0.005752384437684507,,,,,,,0
1971-06-24,,,,,-0.002490192734095235,,,,,,,0
1971-06-25,,,,,-0.0006611494881791498,,,,,,,0
1971-06-28,,,,,-0.004083588082310453,,,,,,,0
1971-06-29,,,,,0.010537166418508683,,,,,,,0
1971-06-30,,,,,0.010019267822736067,,,,,,,0
1971-07-01,,,,,0.0021208788742509443,,,,,,,0
1971-07-02,,,,,-0.0031801843163162696,,,,,,,0
1971-07-06,,,,,0.002370280501915209,,,,,,,0
1971-07-07,,,,,0.004012103552616879,,,,,,,0
1971-07-08,,,,,0.005703888913693813,,,,,,,0
1971-07-09,,,,,0.0008990110878033556,,,,,,,0
1971-07-12,,,,,0.001774229319139524,,,,,,,0
1971-07-13,,,,,-0.012198361744520679,,,,,,,0
1971-07-14,,,,,-0.0013111006521884837,,,,,,,0
1971-07-15,,,,,-0.0026256437876595097,,,,,,,0
1971-07-16,,,,,-0.00040500860643290205,,,,,,,0
1971-07-19,,,,,-0.0023860170397632043,,,,,,,0
1971-07-20,,,,,0.006667493992486341,,,,,,,0
1971-07-21,,,,,-0.0016362210019051024,,,,,,,0
1971-07-22,,,,,-0.004669749898971848,,,,,,,0
1971-07-23,,,,,0.0012405828483782455,,,,,,,0
1971-07-26,,,,,0.0012277816576179142,,,,,,,0
1971-07-27,,,,,-0.009191445318212966,,,,,,,0
1971-07-28,,,,,-0.009867151129783189,,,,,,,0
1971-07-29,,,,,-0.012144356142704822,,,,,,,0
1971-07-30,,,,,-0.0034710129785702785,,,,,,,0
1971-08-02,,,,,0.0075603135957503925,,,,,,,0
1971-08-03,,,,,-0.017215465014105334,,,,,,,0
1971-08-04,,,,,-0.0060115525334400125,,,,,,,0
1971-08-05,,,,,0.005361454338872422,,,,,,,0
1971-08-06,,,,,0.0013655894990876073,,,,,,,0
1971-08-09,,,,,-0.009357990148246596,,,,,,,0
1971-08-10,,,,,-0.003631400937518478,,,,,,,0
1971-08-11,,,,,0.008087280696530405,,,,,,,0
1971-08-12,,,,,0.014922375292421838,,,,,,,0
1971-08-13,,,,,-0.0034807510971932914,,,,,,,0
1971-08-16,,,,,0.038468727366183106,,,,,,,0
1971-08-17,,,,,0.012317903144158761,,,,,,,0
1971-08-18,,,,,-0.015257250805645092,,,,,,,0
1971-08-19,,,,,-0.006093638918040531,,,,,,,0
1971-08-20,,,,,0.00015895182624293104,,,,,,,0
1971-08-23,,,,,0.013020626397702408,,,,,,,0
1971-08-24,,,,,0.013167036464286516,,,,,,,0
1971-08-25,,,,,0.004689591098625208,,,,,,,0
1971-08-26,,,,,-0.0024989816924821185,,,,,,,0
1971-08-27,,,,,0.002262443438913977,,,,,,,0
1971-08-30,,,,,-0.007399658646699364,,,,,,,0
1971-08-31,,,,,-0.003727410891583262,,,,,,,0
1971-09-01,,,,,0.0010578240003562436,,,,,,,0
1971-09-02,,,,,0.0017908389134835862,,,,,,,0
1971-09-03,,,,,0.013457246594050835,,,,,,,0
1971-09-07,,,,,0.004075595727198057,,,,,,,0
1971-09-08,,,,,0.0048664986306152114,,,,,,,0
1971-09-09,,,,,-0.005472728654729419,,,,,,,0
1971-09-10,,,,,-0.005339069102184745,,,,,,,0
1971-09-13,,,,,-0.0017672886937431544,,,,,,,0
1971-09-14,,,,,-0.00851119981526079,,,,,,,0
1971-09-15,,,,,0.003560139743803068,,,,,,,0
1971-09-16,,,,,-0.0019340008399089362,,,,,,,0
1971-09-17,,,,,0.005658225465336463,,,,,,,0
1971-09-20,,,,,-0.003380238268261049,,,,,,,0
1971-09-21,,,,,-0.0019333812075346627,,,,,,,0
1971-09-22,,,,,-0.010903254372371067,,,,,,,0
1971-09-23,,,,,-0.002540428627385129,,,,,,,0
1971-09-24,,,,,-0.002210304281482842,,,,,,,0
1971-09-27,,,,,-0.006566888936366305,,,,,,,0
1971-09-28,,,,,0.0010753053301186591,,,,,,,0
1971-09-29,,,,,-0.0006671038646795846,,,,,,,0
1971-09-30,,,,,0.00380163606123351,,,,,,,0
1971-10-01,,,,,0.007653377517780817,,,,,,,0
1971-10-04,,,,,0.0018792366719612855,,,,,,,0
1971-10-05,,,,,-0.005046557845611038,,,,,,,0
1971-10-06,,,,,0.01055950804587379,,,,,,,0
1971-10-07,,,,,0.001388040641829993,,,,,,,0
1971-10-08,,,,,-0.008749168330006638,,,,,,,0
1971-10-11,,,,,-0.002203801277533436,,,,,,,0
1971-10-12,,,,,0.0018050541516244365,,,,,,,0
1971-10-13,,,,,-0.005315874881092273,,,,,,,0
1971-10-14,,,,,-0.01174617461746168,,,,,,,0
1971-10-15,,,,,-0.004303474657315876,,,,,,,0
1971-10-18,,,,,-0.0024468887923345907,,,,,,,0
1971-10-19,,,,,-0.004596304616936528,,,,,,,0
1971-10-20,,,,,-0.014716212014785271,,,,,,,0
1971-10-21,,,,,-0.0009349617250043295,,,,,,,0
1971-10-22,,,,,-0.0029010937591390515,,,,,,,0
1971-10-25,,,,,-0.004540281802503613,,,,,,,0
1971-10-26,,,,,-0.00370064820271065,,,,,,,0
1971-10-27,,,,,-0.0106226932904325,,,,,,,0
1971-10-28,,,,,0.0014825796886582762,,,,,,,0
1971-10-29,,,,,0.001647525130727532,,,,,,,0
1971-11-01,,,,,-0.015661501787842654,,,,,,,0
1971-11-02,,,,,0.0025670210447291363,,,,,,,0
1971-11-03,,,,,0.017633276166090995,,,,,,,0
1971-11-04,,,,,0.0007002302451991718,,,,,,,0
1971-11-05,,,,,-0.003297081252890844,,,,,,,0
1971-11-08,,,,,-0.003391282618784163,,,,,,,0
1971-11-09,,,,,0.00044176994531605005,,,,,,,0
1971-11-10,,,,,-0.014034920218161846,,,,,,,0
1971-11-11,,,,,-0.013605277491980887,,,,,,,0
1971-11-12,,,,,-0.002417444871212666,,,,,,,0
1971-11-15,,,,,-0.002964548429158464,,,,,,,0
1971-11-16,,,,,0.010092161918744603,,,,,,,0
1971-11-17,,,,,0.004189517655824346,,,,,,,0
1971-11-18,,,,,-0.008258934001508214,,,,,,,0
1971-11-19,,,,,-0.005739866315079492,,,,,,,0
